Name,Address,Phone,City,Postcode,Latitude,Longitude,Distance
Metro Medical Pharmacy,351 Christie St,(416) 530-1055,Toronto,M6G 3C2,43.6732321,-79.4215684,0
Metro Pharmacy,80 Front St E,(416) 203-9292,Toronto,M5E 1T4,43.6492034,-79.3727345,0
Metro Pharmacy,100 Lynn Williams St,(416) 588-1300,Toronto,M6K 3N6,43.6398874,-79.4177915,0
Metro Pharmacy,3003 Danforth Ave,(416) 686-8484,Toronto,M4C 1M9,43.6896746,-79.2906481,0
Metro Pharmacy,2155 St Clair Ave W,(416) 762-7300,Toronto,M6N 1K5,43.6696409,-79.4730252,0
Metropolitan Pharmacy,4G Spadina Ave,(416) 623-9960,Toronto,M5V 3Z9,43.6408961,-79.3936405,0
Mid-Eg Pharmacy Inc.,10-2480 Eglinton Ave East,(416) 551-8222,Toronto,M1K 2R4,43.7349023,-79.2597402,0
Mimico Pharmacy,2408 Lakeshore Blvd W,(416) 255-0300,Toronto,M8V 1C4,43.6147918,-79.4890633,0
MMT Downtown,218 Gerrard St E,(647) 347-4444,Toronto,M5A 2E6,43.661619,-79.3709606,0
Mobarak Guardian Pharmacy,28 Overlea Blvd,(416) 421-7211,Toronto,M4H 1B6,43.705542,-79.3500319,0
Morelli's Pharmacy,15 York St,(416) 815-1200,Toronto,M5J 0A3,43.6420951,-79.3808507,0
Mortar + Pestle,1997 Bloor St W,(416) 901-8020,Toronto,M6S 1M4,43.6521306,-79.4708218,0
Moss Park Pharmacy,325 Queen St E,(416) 361-5713,Toronto,M5A 1S9,43.6552969,-79.3653804,0
Mount Pleasant Pharmacy,245 Eglinton Ave E,(416) 488-3232,Toronto,M4P 3B7,43.7081764,-79.38957,0
Mount Sinai Hospital,600 University Ave,(416) 586-4800,Toronto,M5G 1X5,43.6575439,-79.3900848,0
Multicare Drug Mart Inc.,1709 Bloor St W,(416) 532-1222,Toronto,M6P 4E5,43.6546431,-79.4588302,0
Murray Shore Pharmacy,3537 Bathurst St,(416) 789-1800,Toronto,M6A 2C7,43.7298569,-79.4318405,0
Nelson Pharmacy,673 College St,(416) 551-2175,Toronto,M6G 1B9,43.6550073,-79.4171268,0
New Care Pharmacy,56 Westmore Drive,(416) 740-6565,Toronto,M9V 1C3,43.7402288,-79.6036776,0
New Day Danforth Pharmacy,1288 Danforth Ave,(647) 931-7314,Toronto,M4J 1M6,43.6821687,-79.3302011,0
New Era Pharmacy,2163 Danforth Ave,(416) 691-3323,Toronto,M4C 1K2,43.6859513,-79.3107621,0
North Park Medical Pharmacy,2355 Keele St,(416) 243-5111,Toronto,M6M 4A1,43.7076621,-79.476277,0
Northcliffe Pharmacy,1751 Eglinton Ave W,(416) 256-7888,Toronto,M6E 2H7,43.6960395,-79.4478638,0
Northern Rx Medical Pharmacy,201-418 Eglinton Ave W,(647) 350-5100,Toronto,M5N 1A2,43.7053742,-79.4048587,0
Northtown Way Pharmacy,114-10 Northtown Way,(416) 226-4141,Toronto,M2N 7L4,43.7759301,-79.413286,0
Northview Pharmacy,4949 Bathurst St,(416) 224-8555,Toronto,M2R 1Y1,43.7743866,-79.4423472,0
Nova Pharmacy,1674 Dufferin St,(416) 901-7587,Toronto,M6H 3M1,43.6774828,-79.4431885,0
Oakwood Pharmacy,332 Oakwood Ave,(416) 651-5252,Toronto,M6E 2V9,43.6860897,-79.4384383,0
Odette Cancer Centre Pharmacy,T1-271-2075 Bayview Ave,(416) 480-4671,Toronto,M4N 3M5,43.7228457,-79.3728749,0
Old Park Pharmacy,1042 Eglinton Ave W,(416) 787-7341,Toronto,M6C 2C5,43.7001886,-79.4303817,0
Omni Pharmacy,799 Bloor St W,(416) 588-8724,Toronto,M6G 1L8,43.6627133,-79.4213057,0
On Care Pharmacy,481 Dundas St W,(416) 598-4009,Toronto,M5T 1H1,43.6529014,-79.3971906,0
One Community Pharmacy Inc.,347 Spadina Ave.,(416) 977-1101,Toronto,M5T 2G3,43.6552893,-79.3985307,0
One Medical Pharmacy,102-20 Wynford Drive,(416) 443-1444,Toronto,M3C 1J4,43.7271034,-79.3288467,0
One Pharmacy,301-110 Harbour St,(416) 221-5433,Toronto,M5J 0B7,43.6413898,-79.3801637,0
Orton Park Pharmacy,136 Orton Park Rd,(416) 439-7222,Toronto,M1G 3H1,43.7716344,-79.2092939,0
Ossington Medical Pharmacy,836 Bloor St. West,(416) 516-9998,Toronto,M6G 1M2,43.6625205,-79.4237204,0
Pace Pharmacy,14 Isabella St,(416) 515-7223,Toronto,M4Y 1N1,43.6679252,-79.3850826,0
Pacific Pharmacy Toronto,721 Gerrard St E,(416) 461-6898,Toronto,M4M 1Y5,43.6663332,-79.3477988,0
Pape Drug Mart,751 Pape Ave,(416) 461-3581,Toronto,M4K 3T1,43.6802331,-79.3449984,0
Parkdale Guardian Drugs,1514 Queen St W,(416) 533-2391,Toronto,M6R 1A4,43.6403968,-79.4385611,0
Parkdale Pharmacy,1439 King St W,(416) 516-2039,Toronto,M6K 1H9,43.6367042,-79.4370084,0
Parkside Pharmacy (Remedy's Rx),1640 Bloor St W,(647) 350-3530,Toronto,M6P 1A7,43.6557418,-79.4564786,0
Parliament Pharmacy,402 Parliament St,(416) 963-9733,Toronto,M5A 2Z7,43.6617721,-79.3671468,0
Peoples Choice Remedy's Rx,Unit 16-1145 Morningside Ave,(647) 748-7337,Toronto,M1B 0A7,43.8013095,-79.1984082,0
Peoples Drug Mart,2543 Danforth Ave,(416) 691-2229,Toronto,M4C 1L1,43.6879268,-79.3021335,0
Peoples Drug Mart,491 Lawrence Ave W,(416) 781-5683,Toronto,M5M 1C7,43.7190976,-79.428829,0
Pharmacare Drug Mart,891 Broadview Ave,(416) 424-1242,Toronto,M4K 2P9,43.680721,-79.3576452,0
Pharmacia,553 St Clair Ave W,(647) 347-0485,Toronto,M6C 1A3,43.6824776,-79.4208483,0
Pharmacy By The Grange,275 Dundas St W,(416) 593-4696,Toronto,M5T 1G1,43.6541583,-79.3904907,0
Pharmacy Go Caledonia,324 Silverthorn Ave,(416) 654-1144,Toronto,M6N 3K6,43.6826288,-79.4634229,0
Pharmacy.Ca,311 Sherbourne St,(416) 960-7768,Toronto,M5A 3Y1,43.6614363,-79.3719426,0
Pharma-Docs,4972 Dundas St W,(416) 233-0404,Toronto,M9A 1B7,43.6474441,-79.5302442,0
Pharmasave,1018 Pape Ave,(416) 429-8448,Toronto,M4K 3V9,43.6890201,-79.3488585,0
Pharmasave,100-720 Spadina Ave,(416) 929-7200,Toronto,M5S 2T9,43.6653855,-79.4034771,0
Pharmasave 606,944 Kingston Rd,(416) 698-1641,Toronto,M4E 1S7,43.6805978,-79.288133,0
Pharmasave Cadence Pharmacy,200 Spadina Ave,(416) 203-8900,Toronto,M5T 2C2,43.6502361,-79.3974325,0
Pharmasave Cedarcourt Pharmacy,A5-3480 Lawrence Ave E,(416) 289-0000,Toronto,M1H 1A9,43.7597868,-79.2270078,0
PharmaTrust Drug Mart,1935 Sheppard Ave W,(416) 743-3351,Toronto,M3L 1Y8,43.7395064,-79.5118365,0
Phil-Way Pharmacy,A3-1700 Eglinton Ave E,(416) 285-7338,Toronto,M4A 2X4,43.7262913,-79.3128424,0
Premier Pharmacy and Compounding Centre,3323 Bathurst St,(647) 347-1311,Toronto,M6A 2B7,43.725378,-79.4309518,0
Prescription Care Centre,"St. Michael's Hospital, Donnelly, Room B1-034",(416) 864-5110,Toronto,M5B 1W8,43.6529691,-79.3776369,0
Princess Margaret Cancer Centre,610 University Ave,(416) 946-2000,Toronto,M5G 2M9,43.6581169,-79.3907253,0
Princess Margaret Outpatient Pharmacy,Rm M810-610 University Ave,(416) 946-6593,Toronto,M5G 2M9,43.6581169,-79.3907253,0
Procare IDA Pharmacy,795 Broadview Ave,(416) 546-2422,Toronto,M4K 2P8,43.6776571,-79.358392,0
Procare Pharmacy,1262 Don Mills Rd,(416) 444-4500,Toronto,M3B 2W6,43.7447025,-79.3464677,0
Prohealth Pharmacy,1473 Danforth Ave,(416) 465-7776,Toronto,M4J 1N5,43.6827043,-79.3260121,0
Providence Pharmacy,3276 St. Clair Ave E,(416) 285-3805,Toronto,M1L 1W1,43.7129553,-79.2852817,0
Queen East Medical Pharmacy,1876 Queen St E,(647) 313-1948,Toronto,M4L 1H2,43.6688466,-79.3064151,0
Queen's Plate Pharmacy,135 Queens's Plate Dr,(416) 342-5146,Toronto,M9W 6V1,43.7168613,-79.5920356,0
R.K. Pharmacy Limited,302 Spadina Ave,(416) 593-0202,Toronto,M5T 2E7,43.6533772,-79.3985109,0
Raxlen Pharmacy,343 College St,(416) 324-9217,Toronto,M5T 1S5,43.6571436,-79.4032675,0
Regency Pharmacy,2737 Keele St,(416) 398-7000,Toronto,M3M 2E9,43.7257789,-79.480759,0
Remedy's Rx Eglinton Bayview Compounding Pharmacy,102-586 Eglinton Ave E,(416) 544-9449,Toronto,M4P 1P2,43.7073912,-79.3953379,0
Rexall,288 Sheppard Ave E,(416) 222-5454,Toronto,M2N 3B1,43.7645963,-79.3980702,0
Rexall,1235 Wilson Ave,(416) 248-5810,Toronto,M3M 0B2,43.7237804,-79.4887557,0
Rexall,440 Browns Line,(416) 251-2231,Toronto,M8W 3T9,43.6019254,-79.5457153,0
Rexall,3701 Lakeshore Blvd W,(416) 259-3777,Toronto,M8W 1P8,43.5930846,-79.5384814,0
Rexall,76 Grenville St,(416) 323-6250,Toronto,M5S 1B2,43.6615138,-79.3871213,0
Rexall,Unit Cn1038,(416) 362-6480,Toronto,M5X 1C8,43.6492218,-79.381635,0
Rexall,C186-199 Bay St,(416) 364-7824,Toronto,M5L 1E7,43.6481326,-79.3795089,0
Rexall,48 Yonge St,(416) 366-4355,Toronto,M5E 1G6,43.6479642,-79.3777254,0
Rexall,Adelaide Richmond Centre,(416) 368-2742,Toronto,M5H 1T1,43.6499721,-79.3832232,0
Rexall,474 Spadina Ave,(416) 413-1060,Toronto,M5T 2G8,43.6577255,-79.400333,0
Rexall,325 Moore Ave,(416) 423-3488,Toronto,M4G 3T6,43.6966927,-79.369391,0
Rexall,807 Broadview Ave,(416) 461-1264,Toronto,M4K 2P8,43.6779782,-79.35826,0
Rexall,2300 Yonge St,(416) 484-6750,Toronto,M4P 1E4,43.7072693,-79.3996009,0
Rexall,1820 Bayview Ave,(416) 485-1853,Toronto,M4G 4G7,43.712781,-79.3776009,0
Rexall,393 Spadina Rd,(416) 488-1107,Toronto,M5P 2W1,43.6885088,-79.4123749,0
Rexall,1093 Queen St W,(416) 531-7446,Toronto,M6J 1J1,43.6430802,-79.4226516,0
Rexall,1421 Dundas St W,(416) 533-9644,Toronto,M6J 1Y4,43.6493725,-79.4292906,0
Rexall,1245 Dupont St,(416) 537-3437,Toronto,M6H 2A6,43.6676544,-79.4420834,0
Rexall,3402 Yonge St,(416) 544-0810,Toronto,M4N 2M9,43.7329928,-79.404557,0
Rexall,595 Bay St,(416) 591-1414,Toronto,M5G 2C2,43.6562198,-79.3832909,0
Rexall,250 University Ave,(416) 591-2097,Toronto,M5H 3E5,43.6502713,-79.3869314,0
Rexall,285 Spadina Ave,(416) 596-1602,Toronto,M5T 2E6,43.6532454,-79.3978534,0
Rexall,159 Yonge St,(416) 603-4888,Toronto,M5C 1X7,43.6520696,-79.3789777,0
Rexall,88 Queens Quay West,(416) 607-5552,Toronto,M5J 0B8,43.6410825,-79.3787196,0
Rexall,63 Front St E,(416) 607-6387,Toronto,M5E 1B3,43.6481827,-79.3738706,0
Rexall,113-1115 Wilson Ave,(416) 633-4366,Toronto,M3M 1H2,43.725741,-79.4830004,0
Rexall,2-4789 Yonge St,(416) 733-0161,Toronto,M2N 0G3,43.7613561,-79.4102084,0
Rexall,Unit B-249 Marlee Ave,(416) 780-0204,Toronto,M6B 4B8,43.7058503,-79.4420395,0
Rexall,901 Eglinton Ave W,(416) 787-9984,Toronto,M6C 2C1,43.7004107,-79.4270751,0
Rexall,C001-2 St Clair Ave E,(416) 921-2406,Toronto,M4T 2T5,43.688467,-79.393801,0
Rexall,87 Avenue Rd,(416) 922-5555,Toronto,M5R 3R9,43.6719078,-79.3948697,0
Rexall,C28-29-50 Bloor St W,(416) 923-1766,Toronto,M4W 3L8,43.670355,-79.3882477,0
Rexall,3-345 Bloor St E,(416) 923-3221,Toronto,M4W 3J6,43.6701086,-79.3863831,0
Rexall,63 Wellesley St E,(416) 924-7769,Toronto,M4Y 1G7,43.6653729,-79.3811801,0
Rexall,539 Parliament St,(416) 926-1658,Toronto,M4X 1P7,43.6661388,-79.3683352,0
Rexall,481 Bloor St W,(416) 929-8213,Toronto,M5S 1X9,43.6657024,-79.4070964,0
Rexall,600 University Ave,(416) 977-0408,Toronto,M5G 1X5,43.6575439,-79.3900848,0
Rexall,C216-777 Bay St,(416) 977-6899,Toronto,M5G 2C8,43.6604859,-79.3844559,0
Rexall,200-200 Wellington St W,(416) 979-0770,Toronto,M5V 3C7,43.6459076,-79.3878224,0
Rexall,401 Yonge St,(416) 979-9190,Toronto,M5B 1S9,43.6593968,-79.3818779,0
River Hill Pharmacy,2086 Lawrence Ave W,(416) 614-6623,Toronto,M9N 3Z9,43.6998792,-79.5183518,0
Rogers Road Pharmacy,576 Rogers Rd,(416) 651-2226,Toronto,M6M 1B6,43.6823011,-79.4713663,0
Rosedale Pharmacy,600 Sherbourne St,(416) 961-8877,Toronto,M4X 1W4,43.6716822,-79.3768696,0
Roya Boutique Pharmacy,77 Provost Dr,(416) 221-4200,Toronto,M2K 0B7,43.7691771,-79.3703589,0
Royal Care Pharmacy,295 College St,(416) 925-5000,Toronto,M5T 1S2,43.6574935,-79.4011984,0
Rumball Drug Mart,553 Sammon Ave,(416) 461-6900,Toronto,M4C 2E1,43.6887331,-79.3255124,0
Runnymede Healthcare Centre,625 Runnymede Rd,(416) 762-7316,Toronto,M6S 3A3,43.6646809,-79.4812103,0
Salvation Army Toronto Grace Health Centre,650 Church St,(416) 925-2251,Toronto,M4Y 2G5,43.670326,-79.3832017,0
Sam's I.D.A. Pharmacy,101Y-1920 Yonge St,(416) 483-3003,Toronto,M4S 3E2,43.6987992,-79.3972615,0
Sanomed Pharmacy & Compounding Centre,1000 Bay St,(416) 923-7770,Toronto,M5S 3A8,43.6650475,-79.387829,0
Sante Pharmacy,L07-2 Bloor St W,(416) 919-8734,Toronto,M4W 3E2,43.6704775,-79.3872741,0
Seaton St. Pharmacy,228 Queen St E,(647) 352-4300,Toronto,M5A 1S3,43.6547459,-79.3689217,0
Sherbourne Pharmacy,26-2300 Finch Avenue West,(647) 748-6668,Toronto,M9M 2Y3,43.7531004,-79.542035,0
Shifa Pharmacy,4-1 Leaside Park Dr,(416) 425-2006,Toronto,M4H 1R1,43.7029876,-79.3507244,0
Shop Rite Pharmacy,685 Kennedy Rd,(416) 264-1000,Toronto,M1K 2B8,43.7272596,-79.2655088,0
Shoppers Drug Mart,18 Lower Jarvis St,(416) 203-3700,Toronto,M5E 1N1,43.6467236,-79.3706932,0
Shoppers Drug Mart,500 King St W,(416) 214-4724,Toronto,M5V 1L9,43.6452912,-79.3967609,0
Shoppers Drug Mart,593 Dundas St E,(416) 214-9440,Toronto,M5A 0C7,43.6602043,-79.3613328,0
Shoppers Drug Mart,1533 Jane St,(416) 248-5424,Toronto,M9N 2R2,43.6971001,-79.5014085,0
Shoppers Drug Mart,1840 Eglinton Ave W,(416) 256-6199,Toronto,M6E 2J4,43.6958261,-79.4509313,0
Shoppers Drug Mart,110-390 Queens Quay W,(416) 260-2766,Toronto,M5V 3A6,43.6411719,-79.3778116,0
Shoppers Drug Mart,255 Morningside Ave,(416) 282-1129,Toronto,M1E 3E6,43.7702814,-79.185016,0
Shoppers Drug Mart,812 O'Connor Dr,(416) 285-5822,Toronto,M4B 2S9,43.7058539,-79.3128279,0
Shoppers Drug Mart,333 Bay St,(416) 304-1151,Toronto,M5H 2R2,43.6503406,-79.3805207,0
Shoppers Drug Mart,761 King St W,(416) 306-0311,Toronto,M5V 1N4,43.6431408,-79.4059042,0
Shoppers Drug Mart,69 Yonge St,(416) 364-1948,Toronto,M5E 1K3,43.649001,-79.3776402,0
Shoppers Drug Mart,66 Wellington St W,(416) 365-0927,Toronto,M5K 1A1,43.6476696,-79.3810141,0
Shoppers Drug Mart,351 Queen St E,(416) 368-2121,Toronto,M5A 1T2,43.6554619,-79.3640493,0
Shoppers Drug Mart,465 Yonge St,(416) 408-4000,Toronto,M4Y 1X4,43.6618227,-79.3830287,0
Shoppers Drug Mart,45 Overlea Blvd,(416) 421-5141,Toronto,M4H 1C3,43.7057953,-79.3460276,0
Shoppers Drug Mart,1012 Pape Ave,(416) 423-3131,Toronto,M4K 3V9,43.6887064,-79.3489096,0
Shoppers Drug Mart,1500 Woodbine Ave,(416) 429-2529,Toronto,M4C 4G9,43.6992126,-79.3193571,0
Shoppers Drug Mart,946 Lawrence Ave E,(416) 444-4445,Toronto,M3C 1R1,43.7372522,-79.3459396,0
Shoppers Drug Mart,1015 Lake Shore Blvd E,(416) 461-0565,Toronto,M4M 1B4,43.6580366,-79.3288788,0
Shoppers Drug Mart,1630 Danforth Ave,(416) 461-2453,Toronto,M4C 1H6,43.683901,-79.3221898,0
Shoppers Drug Mart,755 Danforth Ave,(416) 461-7533,Toronto,M4J 1L2,43.6791421,-79.3422396,0
Shoppers Drug Mart,970 Queen St E,(416) 462-0062,Toronto,M4M 1J8,43.6612116,-79.3406829,0
Shoppers Drug Mart,180 Danforth Ave.,(416) 466-5698,Toronto,M4K 1N1,43.6768251,-79.3570281,0
Shoppers Drug Mart,759 Mount Pleasant Rd,(416) 482-7100,Toronto,M4S 2N4,43.7077315,-79.3895818,0
Shoppers Drug Mart,101-1860 Bayview Ave,(416) 482-9841,Toronto,M4G 0C3,43.7140793,-79.3779058,0
Shoppers Drug Mart,3366 Yonge St,(416) 483-3018,Toronto,M4N 2M7,43.7323488,-79.4045109,0
Shoppers Drug Mart,550 Eglinton Ave W,(416) 485-3093,Toronto,M5N 1B6,43.7034647,-79.4152603,0
Shoppers Drug Mart,2345 Yonge St,(416) 487-5411,Toronto,M4P 1E4,43.7089492,-79.3978503,0
Shoppers Drug Mart,1601 Bayview Ave,(416) 489-1873,Toronto,M4G 3B5,43.7063311,-79.375022,0
Shoppers Drug Mart,2901 Sheppard Ave E,(416) 491-4444,Toronto,M1T 3J3,43.7750899,-79.3223062,0
Shoppers Drug Mart,A-1033 Queen St W,(416) 516-5756,Toronto,M6J 0A6,43.6438666,-79.4193134,0
Shoppers Drug Mart,1473 Queen St. W.,(416) 530-2799,Toronto,M6R 1A1,43.6398986,-79.4390502,0
Shoppers Drug Mart,1400 Dupont St,(416) 532-9214,Toronto,M6H 2B2,43.6668998,-79.4467113,0
Shoppers Drug Mart,725 College St,(416) 534-2375,Toronto,M6G 1C5,43.654263,-79.4189143,0
Shoppers Drug Mart,2440 Dundas St W,(416) 536-0220,Toronto,M6P 1W9,43.6592201,-79.4530285,0
Shoppers Drug Mart,958 Bloor St W,(416) 538-0105,Toronto,M6H 1L6,43.6616319,-79.428763,0
Shoppers Drug Mart,523 St Clair Ave W,(416) 538-1155,Toronto,M6C 1A1,43.682636,-79.4192732,0
Shoppers Drug Mart,279 Yonge St,(416) 591-1733,Toronto,M5B 1N8,43.6556497,-79.380301,0
Shoppers Drug Mart,2-15A Bathurst St,(416) 594-3535,Toronto,M5V 1A5,43.6371977,-79.4002797,0
Shoppers Drug Mart,388 King St W,(416) 597-6550,Toronto,M5V 1K2,43.6462742,-79.3927143,0
Shoppers Drug Mart,399 Bathurst St,(416) 603-5686,Toronto,M5T 2S8,43.6533856,-79.4059423,0
Shoppers Drug Mart,"1115 Lodestar Rd, building E",(416) 633-8778,Toronto,M3J 0G9,43.7593143,-79.4664333,0
Shoppers Drug Mart,3874 Bathurst St,(416) 635-5601,Toronto,M3H 3N3,43.7411737,-79.4353135,0
Shoppers Drug Mart,2343 Eglinton Ave W,(416) 651-7111,Toronto,M6E 2L6,43.6926252,-79.4627417,0
Shoppers Drug Mart,2000 Queen St E,(416) 694-0471,Toronto,M4L 1J2,43.6701805,-79.3002078,0
Shoppers Drug Mart,3003 Danforth Ave,(416) 694-2131,Toronto,M4C 1M9,43.6896746,-79.2906481,0
Shoppers Drug Mart,2494 Danforth Ave,(416) 698-1888,Toronto,M4C 1K9,43.6880339,-79.3032646,0
Shoppers Drug Mart,524 Queen St W,(416) 703-0228,Toronto,M5V 2B5,43.647818,-79.4023038,0
Shoppers Drug Mart,2550 Finch Ave W,(416) 749-5271,Toronto,M9M 2G3,43.7490689,-79.5602547,0
Shoppers Drug Mart,620 Keele St,(416) 766-3095,Toronto,M6N 3E2,43.6717349,-79.4676787,0
Shoppers Drug Mart,3446 Dundas St W,(416) 766-8131,Toronto,M6S 2S1,43.6661678,-79.4867346,0
Shoppers Drug Mart,181 Bay St,(416) 777-1300,Toronto,M5J 2T3,43.6472616,-79.3785998,0
Shoppers Drug Mart,1500 Avenue Rd,(416) 781-6146,Toronto,M5M 3X2,43.722525,-79.4161207,0
Shoppers Drug Mart,770 Lawrence Ave. W,(416) 787-0238,Toronto,M6A 3C6,43.714513,-79.4521212,0
Shoppers Drug Mart,2047 Avenue Rd,(416) 789-1122,Toronto,M5M 4A7,43.7362764,-79.4197057,0
Shoppers Drug Mart,3401 Dufferin St,(416) 789-1201,Toronto,M6A 2T9,43.7251083,-79.4528087,0
Shoppers Drug Mart,555 University Ave,(416) 813-6700,Toronto,M5G 1X8,43.6570957,-79.3877344,0
Shoppers Drug Mart,200 Bay St,(416) 865-0001,Toronto,M5J 2J3,43.6465177,-79.3800808,0
Shoppers Drug Mart,728 Yonge St,(416) 920-0098,Toronto,M4Y 2B3,43.6685766,-79.3862139,0
Shoppers Drug Mart,463 College St,(416) 923-0755,Toronto,M6G 4C1,43.655953,-79.4085176,0
Shoppers Drug Mart,1507 Yonge St,(416) 923-7700,Toronto,M4T 1Z2,43.6893843,-79.3941999,0
Shoppers Drug Mart,G-41-951 Bay St.,(416) 925-0881,Toronto,M5S 0E1,43.66471,-79.386957,0
Shoppers Drug Mart,467 Parliament St,(416) 925-4121,Toronto,M5A 3A3,43.6639808,-79.3674553,0
Shoppers Drug Mart,55 Bloor St W,(416) 925-6949,Toronto,M4W 1A5,43.6695816,-79.3885728,0
Shoppers Drug Mart,236 Bloor St. W,(416) 927-0440,Toronto,M5S 1T8,43.6683598,-79.3967611,0
Shoppers Drug Mart,360 Bloor St W,(416) 961-2121,Toronto,M5S 1X1,43.6667432,-79.4051282,0
Shoppers Drug Mart,40-565 Sherbourne St,(416) 963-9495,Toronto,M4X 1W7,43.6507176,-79.3680605,0
Shoppers Drug Mart,20 Bloor St E,(416) 967-7787,Toronto,M4W 3G7,43.6709974,-79.3849884,0
Shoppers Drug Mart,292 Dupont St,(416) 972-0232,Toronto,M5R 1V9,43.6749503,-79.4080207,0
Shoppers Drug Mart,1090 King St W,(416) 977-4101,Toronto,M6K 0C7,43.6401698,-79.422434,0
Shoppers Drug Mart,700 Bay St,(416) 979-2424,Toronto,M5G 1Z6,43.6581447,-79.3853588,0
Shoppers Drug Mart,260 Queen Street West,(416) 979-3903,Toronto,M5V 1Z8,43.6499426,-79.3917312,0
Shoppers Drug Mart,220 Yonge St,(416) 979-9375,Toronto,M5B 2H1,43.6540644,-79.3806966,0
Shoppers Drug Mart 877,1859 Leslie Street,(416) 383-9599,Toronto,M3B 2M1,43.7541711,-79.3580571,0
Shoppers Drug Mart 926,1027 Yonge St,(416) 961-0155,Toronto,M4W 2K9,43.6776412,-79.3894544,0
Shoppers Drug Mart 989,2223 Bloor St W,(416) 769-1105,Toronto,M6S 1N7,43.6506064,-79.4764527,0
Shoppers Simply Pharmacy,101-235 Danforth Ave,(416) 778-7780,Toronto,M4K 1N2,43.6761536,-79.3581273,0
Shoppers Simply Pharmacy 3070,1221-1223 St Clair Ave W,(416) 656-6044,Toronto,M6E 1B5,43.6772745,-79.4448543,0
Shuter St. Pharmacy,290 Shuter St,(647) 352-2252,Toronto,M5A 1W7,43.6569834,-79.3655367,0
Silverstone Pharmacy,5-2200 Martin Grove Rd,(416) 740-0040,Toronto,M9V 5H9,43.7514866,-79.5997593,0
Skyway Pharmacy,348 Wilson Ave,(416) 633-1888,Toronto,M3H 1S9,43.736657,-79.4379452,0
Smith's Pharmacy,3463 Yonge St,(416) 488-2600,Toronto,M4N 2N3,43.7341723,-79.4043085,0
Snowdon's Guardian Pharmacy,264 Bloor St W,(416) 922-2156,Toronto,M5S 1V8,43.6675767,-79.4002614,0
Sobeys Pharmacy,145 Marlee Ave,(416) 781-0606,Toronto,M6B 3H3,43.7034887,-79.4409405,0
Sobeys Pharmacy,2-124 Belfield Rd,(416) 246-9048,Toronto,M9W 1G1,43.7029924,-79.5749083,0
Solara Pharmacy,3857 Lake Shore Blvd W,(416) 259-2000,Toronto,M8W 0A2,43.5899689,-79.5450974,0
Sone's Pharmacy,991 Dovercourt Rd,(416) 531-2575,Toronto,M6H 2X6,43.6671072,-79.4315205,0
Specialty Rx,801 Eglinton Ave West,(416) 901-9801,Toronto,M5N 1E1,43.7010237,-79.4244825,0
Specialty Rx,34 Wellesley St E,(416) 972-9131,Toronto,M4Y 1G7,43.6654763,-79.38305,0
St. Clair Drug Mart Pharmacy,1203 St Clair Ave W,(416) 654-8181,Toronto,M6E 1B5,43.6774056,-79.4443328,0
St. James Drug Mart,240 Wellesley St E,(416) 966-1028,Toronto,M4X 1G5,43.6681993,-79.3717796,0
St Lawrence Pharmacy,126 Lower Sherbourne St,(416) 362-8888,Toronto,M5A 4J4,43.6496174,-79.3677132,0
St. Gabriel Medical Pharmacy,650 Sheppard Ave. E,(416) 222-0007,Toronto,M2K 3E4,43.7685392,-79.3813125,0
St. George Drug Mart,567 Bathurst St,(416) 323-9733,Toronto,M5S 2P8,43.6584062,-79.408295,0
St. Joseph Pharmacy,7-2930 Islington Ave,(416) 742-7311,Toronto,M9L 2K5,43.7565355,-79.5696946,0
St. Joseph's Health Centre Pharmacy,30 The Queensway,(416) 530-6555,Toronto,M6R 1B5,43.6403937,-79.4503473,0
St. Mary Pharmacy,796 Queen St E,(416) 778-0078,Toronto,M4M 1H4,43.6596201,-79.3469539,0
St. Michael's Drug Mart,565 College St,(416) 532-2881,Toronto,M6G 1B2,43.655143,-79.41283,0
St. Michael's Hospital,30 Bond St,(416) 360-4000,Toronto,M5B 1W8,43.6537678,-79.3783212,0
Stanburys Pharmacy,1032 Pape Ave,(416) 423-4661,Toronto,M4K 3W2,43.689544,-79.3491692,0
Sunnybrook Health Sciences Centre,2075 Bayview Ave,(416) 480-3862,Toronto,M4N 3M5,43.7228457,-79.3728749,0
Sunnyside Medical Pharmacy,29 Roncesvalles Ave,(416) 537-3777,Toronto,M6R 2K4,43.6398871,-79.4464301,0
Supercare Pharmacy,2867 Jane St,(416) 630-7471,Toronto,M3N 2J5,43.7518516,-79.5154286,0
Swansea Village Pharmasave,2388 Bloor St W,(416) 604-1234,Toronto,M6S 1P5,43.6500228,-79.482551,0
Symington Drugs,333 Symington Ave,(416) 533-9695,Toronto,M6P 3X1,43.6664699,-79.4512356,0
Terrace Square Pharmacy,3424 Weston Rd,(647) 350-5004,Toronto,M9M 2W1,43.7505635,-79.5427838,0
The Compounding Chemists Lab,547 St. Clair Ave W,(416) 652-9171,Toronto,M6C 1A3,43.6825161,-79.4206689,0
The Drugstore Pharmacy,1450 Lawrence Ave E,(416) 752-0135,Toronto,M4A 2S8,43.7424568,-79.3108174,0
The Healing Source Pharmacy,2209 Bloor St W,(416) 769-1717,Toronto,M6S 1N5,43.6510068,-79.4757716,0
The Hospital for Sick Children,555 University Ave,(416) 813-7500,Toronto,M5G 1X8,43.6570957,-79.3877344,0
