Name,Address,City,Postcode
REXALL,1113-1115 WILSON AVE,Toronto,M3M1H2
REXALL,120 ADELAIDE ST W UNIT R28,Toronto,M5H1T1
REXALL,200-200 WELLINGTON ST W PO BOX 101,Toronto,M5V3C7
REXALL,3-345 BLOOR ST E,Toronto,M4W3J6
REXALL,660 EGLINGTON AVE E,Toronto,M4G2K2
REXALL,COMMERCE COURT WEST C186-199 BAY ST,Toronto,M5L1E7
REXALL,PHARMACIES LTD 48 YONGE STREET,Toronto,M5E1G6
REXALL,3560 BATHURST ST,Toronto,M6A2E1
RIVER HILL PHARMACY,2086 LAWRENCE AVE WEST UNIT 1 & 2,Toronto,M9N3Z9
ROGERS ROAD PHARMACY,576 ROGERS ROAD,Toronto,M6M1B6
ROSEDALE PHARMACY,600 SHERBOURNE STREET,Toronto,M4X1W4
ROYA BOUTIQUE PHARMACY,75 PROVOST DRIVE,Toronto,M2K0B7
ROYAL CARE PHARMACY,295 COLLEGE STREET,Toronto,M5T1S2
RUMBALL DRUG MART,553 SAMMON AVE,Toronto,M4C2E1
SABA PHARMACY,547 ST. CLAIR AVE W,Toronto,M6C1A3
SAIGON PHARMACY,300 B SPADINA AVE,Toronto,M5T2E7
SAMM'S PHARMACY,324 SILVERTHORN AVE,Toronto,M6N3K6
SAM'S I.D.A. PHARMACY,101Y-1920 YONGE STREET PO BOX #30,Toronto,M4S3E2
SANOMED PHARMACY,1000 BAY STREET,Toronto,M5S3A8
SANTE PHARMACY,830 YONGE ST 2ND FLOOR,Toronto,M4W2H1
SHEPPARD COMMUNITY PHARMACY,#102-5818 SHEPPARD AVE EAST,Toronto,M1B4Z6
SHERBOURNE PHARMACY,26-2300 FINCH AVE WEST,Toronto,M9M2Y3
SHOPPERS DRUG MART,901 KING STREET WEST,Toronto,M5V3H5
SHOPPERS DRUG MART,463 COLLEGE STREET,Toronto,M6G4C1
SHOPPERS DRUG MART,399 BATHURST STREET,Toronto,M5T2S8
SHOPPERS DRUG MART,4700 KEELE STREET,Toronto,M3J1P3
SHOPPERS DRUG MART,3446 DUNDAS ST W,Toronto,M6S2S1
SHOPPERS DRUG MART,1840 EGLINTON AVENUE WEST,Toronto,M6E2J4
SHOPPERS DRUG MART,180 DANFORTH AVE,Toronto,M4K1N1
SHOPPERS DRUG MART,3366 YONGE STREET,Toronto,M4N2M7
SHOPPERS DRUG MART,4990 YONGE STREET,Toronto,M2N0A1
SHOPPERS DRUG MART,1473 QUEEN ST W,Toronto,M6R1A1
SHOPPERS DRUG MART,1015 LAKESHORE BOULEVARD EAST,Toronto,M4M1B4
SHOPPERS DRUG MART,292 DUPONT STREET,Toronto,M5R1V9
SHOPPERS DRUG MART,761 KING STREET WEST,Toronto,M5V1N4
SHOPPERS DRUG MART,1400 DUPONT STREET,Toronto,M6H2B2
SHOPPERS DRUG MART,101-1860 BAYVIEW AVE,Toronto,M4G0C3
SHOPPERS DRUG MART,388 KING ST WEST,Toronto,M5V1K2
SHOPPERS DRUG MART ,390 QUEENS QUAY WEST,Toronto,M5V3A6
SHOPPERS DRUG MART ,"565 SHERBOURNE ST, SUITE 40 ",Toronto,M4X1W7
SHOPPERS DRUG MART ,946 LAWRENCE AVE EAST,Toronto,M3C1R1
SHOPPERS DRUG MART ,351 QUEEN ST E,Toronto,M5A1T2
SHOPPERS DRUG MART ,1500 ISLINGTON AVENUE,Toronto,M9A3L8
SHOPPERS DRUG MART,18 LOWER JARVIS STREET,Toronto,M5E1N1
SHOPPERS DRUG MART,A-1033 QUEEN ST WEST,Toronto,M6J0A6
SHOPPERS DRUG MART,958 BLOOR STREET WEST,Toronto,M6H1L6
SHOPPERS DRUG MART,718 YONGE STREET,Toronto,M4Y2B3
SHOPPERS DRUG MART,500 KING ST W,Toronto,M5V1L9
SHOPPERS DRUG MART,10 DUNDAS STREET EAST UNIT 1,Toronto,M5B2G9
SHOPPERS DRUG MART,2528 BAYVIEW AVENUE,Toronto,M2L1A9
SHOPPERS DRUG MART,2528 BAYVIEW AVENUE,Toronto,M2L1A9
SHOPPERS DRUG MART,236 BLOOR STREET WEST,Toronto,M5S1T8
SHOPPERS DRUG MART,260 QUEEN STREET WEST,Toronto,M5V1Z8
SHOPPERS DRUG MART,333 BAY STREET,Toronto,M5H2R2
SHOPPERS DRUG MART,593 DUNDAS ST E,Toronto,M5A3H6
SHOPPERS DRUG MART,A-1285 YORK MILLS ROAD,Toronto,M3A1Z5
SHOPPERS DRUG MART,2047 AVENUE ROAD,Toronto,M5M4A7
SHOPPERS DRUG MART,"747 DON MILLS RD, UNIT 12 ",Toronto,M3C1T2
SHOPPERS DRUG MART,2794 VICTORIA PARK AVE,Toronto,M2J4A8
SHOPPERS DRUG MART,1630 DANFORTH AVENUE,Toronto,M4C1H6
SHOPPERS DRUG MART,550 EGLINTON AVE W,Toronto,M5N1B6
SHOPPERS DRUG MART,2440 DUNDAS STREET W.,Toronto,M6P1W9
SHOPPERS DRUG MART,1500 AVENUE ROAD,Toronto,M5M3X2
SHOPPERS DRUG MART,360A BLOOR STREET WEST,Toronto,M5S1X1
SHOPPERS DRUG MART,20 BLOOR ST E HUDSON BAY CENTRE,Toronto,M4W3G7
SHOPPERS DRUG MART,725 COLLEGE STREET,Toronto,M6G1C5
SHOPPERS DRUG MART,2494 DANFORTH AVENUE,Toronto,M4C1K9
SHOPPERS DRUG MART,759 MOUNT PLEASANT RD,Toronto,M4S2N4
SHOPPERS DRUG MART,1881 STEELES AVE WEST,Toronto,M3H5Y4
SHOPPERS DRUG MART,1084 WILSON AVENUE,Toronto,M3K1G6
SHOPPERS DRUG MART,770 LAWRENCE AVE WEST,Toronto,M6A3C6
SHOPPERS DRUG MART,700 BAY STREET,Toronto,M5G1Z6
SHOPPERS DRUG MART,970 QUEEN ST EAST,Toronto,M4M1J8
SHOPPERS DRUG MART,"1-124B-220 YONGE ST, EATON CTR ",Toronto,M5B2H1
SHOPPERS DRUG MART,70 EGLINTON SQUARE BLVD,Toronto,M1L2K1
SHOPPERS DRUG MART,265 PORT UNION RD,Toronto,M1C2L3
SHOPPERS DRUG MART,925 EGLINTON AVE W,Toronto,M6C2C3
SHOPPERS DRUG MART,523 ST. CLAIR AVENUE WEST,Toronto,M6C1A1
SHOPPERS DRUG MART,3874 BATHURST ST,Toronto,M3H3N3
SHOPPERS DRUG MART,2345 YONGE STREET,Toronto,M4P1E4
SHOPPERS DRUG MART,1515 STEELES AVE EAST,Toronto,M2M3Y7
SHOPPERS DRUG MART,467 PARLIAMENT ST,Toronto,M5A3A3
SHOPPERS DRUG MART,2550 FINCH AVENUE WEST,Toronto,M9M2G3
SHOPPERS DRUG MART,3003 DANFORTH AVENUE,Toronto,M4C1M9
SHOPPERS DRUG MART,620 KEELE ST,Toronto,M6N3E2
SHOPPERS DRUG MART,1533 JANE STREET,Toronto,M9N2R2
SHOPPERS DRUG MART,45 OVERLEA BLVD.,Toronto,M4H1C3
SHOPPERS DRUG MART,1995 WESTON ROAD,Toronto,M9N1X2
SHOPPERS DRUG MART,1859 LESLIE STREET,Toronto,M3B2M1
SHOPPERS DRUG MART,2343 EGLINTON AVENUE WEST,Toronto,M6E2L6
SHOPPERS DRUG MART,3401 DUFFERIN ST.,Toronto,M6A2T9
SHOPPERS DRUG MART,5845 YONGE STREET,Toronto,M2M3T9
SHOPPERS DRUG MART,812 O'CONNOR DRIVE,Toronto,M4B2S9
SHOPPERS DRUG MART,4865 LESLIE STREET,Toronto,M2J2K8
SHOPPERS DRUG MART,5899 LESLIE STREET,Toronto,M2H1J8
SHOPPERS DRUG MART,6205 BATHURST STREET,Toronto,M2R2A5
SHOPPERS DRUG MART,"1115 LODESTAR ROAD, BULDING E ",Toronto,M3J0G9
SHOPPERS DRUG MART,817 YONGE STREET,Toronto,M4W2G9
SHOPPERS DRUG MART,1012 PAPE AVE,Toronto,M4K3V9
SHOPPERS DRUG MART,1507 YONGE STREET,Toronto,M4T1Z2
SHOPPERS DRUG MART,555 UNIVERSITY AVE,Toronto,M5G1X8
SHOPPERS DRUG MART,465 YONGE ST,Toronto,M4Y1X4
SHOPPERS DRUG MART,"181 BAY STREET, BCE PLACE ",Toronto,M5J2T3
SHOPPERS DRUG MART,69 YONGE ST,Toronto,M5E1K3
SHOPPERS DRUG MART,900 ALBION RD,Toronto,M9V1A5
SHOPPERS DRUG MART,2850 LAKESHORE BLVD,Toronto,M8V1J2
SHOPPERS DRUG MART,1601 BAYVIEW AVENUE,Toronto,M4G3B5
SHOPPERS DRUG MART,2000 QUEEN STREET EAST,Toronto,M4L1J2
sHOPPERS DRUG MART,"200 BAY ST, ROYAL BANK PLAZA ",Toronto,M5J2J3
SHOPPERS DRUG MART,2223 BLOOR STREET WEST,Toronto,M6S1N7
SHOPPERS DRUG MART,524 QUEEN ST WEST,Toronto,M5V2B5
SHOPPERS DRUG MART,755 DANFORTH AVENUE,Toronto,M4J1L2
SHOPPERS DRUG MART,29A-66 WELLINGTON ST WEST,Toronto,M5K1A1
SHOPPERS SIMPLY PHARMACY,701 SHEPPARD AVE EAST,Toronto,M2K2Z3
SHOPPERS SIMPLY PHARMACY,101-235 DANFORTH AVE,Toronto,M4K1N2
SHOPPERS SIMPLY PHARMACY,1223 ST CLAIR AVE WEST,Toronto,M6E1B5
SHOPPERS SIMPLY PHARMACY,1525 ALBION ROAD,Toronto,M9V5G5
SIMPILL PHARMACY,1408 QUEEN ST W,Toronto,M6K1L9
SINA PHARMACY,37 THE LINKS RD,Toronto,M2P1T7
SKYWAY PHARMACY,348 WILSON AVENUE,Toronto,M3H1S9
SMITH'S PHARMACY,3463 YONGE STREET,Toronto,M4N2N3
SNOWDON PHARMACY,264 BLOOR ST WEST,Toronto,M5S1V8
SOBEYS PHARMACY,145 MARLEE AVENUE,Toronto,M6B3H3
SOBEYS PHARMACY,7271 BELFIELD EARL.WARD & CO. LTD 2-124 BELFIELD RD,Toronto,M9W1G1
SOLARA PHARMACY,3857 LAKE SHORE BLVD W,Toronto,M8W0A2
SOLARSKI PHARMACY,149 RONCESVALLES AVENUE,Toronto,M6R2L3
SONE'S PHARMACY,991 DOVERCOURT RD,Toronto,M6H2X6
SPADINA'S NEIGHBOURHOOD PHARMACY,720 SPADINA AVE,Toronto,M5S2T9
ST. CLAIR DRUG MART PHARMACY,1203 ST CLAIR AVENUE WEST,Toronto,M6E1B5
ST. GABRIEL MEDICAL PHARMACY,101-650 SHEPPARD AVE. E.,Toronto,M2K3E4
ST. GEORGE DRUG MART,567 BATHURST STREET 2ND FLOOR,Toronto,M5S2P8
ST. GEORGE PHARMACY,193 COLLEGE ST,Toronto,M5T1P9
ST. JAMES DRUG MART,"240 WELLESLEY ST E, #118 ",Toronto,M4X1G5
ST. JOSEPH PHARMACY,2930 ISLINGTON AVENUE,Toronto,M9L2K5
ST. JOSEPH'S HEALTH CENTRE OUTPATIENT PHARMACY,30 THE QUEENSWAY,Toronto,M6R1B5
ST. MICHAEL'S DRUG MART,565 COLLEGE STREET,Toronto,M6G1B2
ST. LAWRENCE PHARMACY,126 LOWER SHERBOURNE ST,Toronto,M5A4J4
STANBURY'S PHARMACY,1032 PAPE AVE,Toronto,M4K3W2
STOCKYARDS PHARMACY,2566 ST CLAIR AVE W,Toronto,M6N1L8
SULTAN PHARMACY,8-1118 FINCH AVE WEST,Toronto,M3J3J4
SUNNYSIDE MEDICAL PHARMACY,29 RONCESVALLES AVE,Toronto,M6R2K4
SWANSEA VILLAGE PHARMASAVE,2388 BLOOR ST WEST,Toronto,M6S1P5
SYMINGTON DRUGS,333 SYMINGTON AVE,Toronto,M6P3X1
TERRACE SQUARE PHARMACY,3424 WESTON ROAD,Toronto,M9M2W1
TGH TRANSPLANT OUTPATIENT PHARMACY,"1202-585 UNIVERSITY AVE, 12 FL ",Toronto,M5G2N2
THE 6IX PHARMACY ON FRONT,58-550 FRONT ST W,Toronto,M5V3N5
THE AKRON PHARMACY,2318 LAKESHORE BLVD WEST,Toronto,M8V1B5
THE HEALING SOURCE PHARMACY,2209 BLOOR STREET WEST,Toronto,M6S1N5
THE MEDICINE SHOPPE,1168 A DUNDAS STREET W.,Toronto,M6J1X4
THE MEDICINE SHOPPE,515 ST. CLAIR AVE WEST,Toronto,M6C1A1
THE MEDICINE SHOPPE,2600 EGLINTON AVENUE WEST,Toronto,M6M1T5
PALMERSTON PHARMACY,499 COLLEGE ST,Toronto,M6G1A5
THE PHARMACY NETWORK,7-1575 JANE ST,Toronto,M9N2R3
VILLAGE PHARMACY,473 CHURCH STREET,Toronto,M4Y2C5
THEODORE PHARMACY,1450 O'CONNOR DRIVE,Toronto,M4B2T8
THORNCLIFFE PHARMACY,106-65 OVERLEA BLVD,Toronto,M4H1P1
THORNLEA PHARMACY,"62 OVERLEA BLVD, UNIT 4A ",Toronto,M4H1C4
TOTAL HEALTH PHARMACY,2115 FINCH AVE WEST SUITE 217,Toronto,M3N2V6
TOTAL HEALTH PHARMACY,997 GERRARD ST E,Toronto,M4M1Z4
TOTAL HEALTH PHARMACY,1849 YONGE STREET,Toronto,M4S1Y2
TOTAL HEALTH PHARMACY,100-801 EGLINTON AVENUE WEST,Toronto,M5N1E3
TRILLIUM PHARMACY,3443 FINCH AVE EAST,Toronto,M1W2S1
TRINITY DRUG STORE,750 DUNDAS STREET W,Toronto,M6J3S3
U&C PHARMACY,700 UNIVERSITY AVENUE UNIT HSC112 SHOPPING CONCOURSE,Toronto,M5G1Z5
ULTRA BLOOR PHARMACY,1254 BLOOR ST WEST,Toronto,M6H1N5
ULTRA PHARMACY,411 PARLIAMENT STREET,Toronto,M5A3A1
UNITED DRUG MART,154 OSSINGTON AVENUE,Toronto,M6J2Z5
UNIVERSAL PHARMACY,819 LANSDOWNE AVE,Toronto,M6H3Z2
UNIVERSITY HEALTH CENTRE PHARMACY,"4801 KEELE ST, UNIT 59 ",Toronto,M3J3A4
UPTOWN PHARMACY,243 EGLINTON AVE WEST,Toronto,M4R1B1
URBAN CARE PHARMACY,26 DALHOUSIE STREET,Toronto,M5B2A5
VICTOR PHARMACY,123 EDWARD STREET,Toronto,M5G1E2
VICTORIA PARK PHARMACY,1314 VICTORIA PARK AVENUE,Toronto,M4B2L4
VINA PHARMACY,1025 GERRARD ST E,Toronto,M4M1Z6
VINA PHARMACY,1460 QUEEN STREET W.,Toronto,M6K1M2
VITA PHARMACY,525 DUNDAS STREET W. UNIT 2,Toronto,M5T1H4
VITALITY COMPOUNDING PHARMACY,918 KINGSTON ROAD,Toronto,M4E1S5
WALMART PHARMACY,2525 ST. CLAIR AVE WEST,Toronto,M6N4Z5
WALMART PHARMACY,WALMART PHARMACY LIMITED 3757 KEELE ST,Toronto,M3J1N4
WALMART PHARMACY,1000 GERRARD STREET EAST,Toronto,M4M3G6
WALMART PHARMACY,2202 JANE STREET,Toronto,M3M1A4
WALMART PHARMACY,NORTH PARK PLAZA 1305 LAWRENCE AVENUE W.,Toronto,M6L1A5
WALMART PHARMACY,DUFFERIN MALL 900 DUFFERIN STREET,Toronto,M6H4A9
WARDEN MEDICAL PHARMACY,3321 SHEPPARD AVE EAST,Toronto,M1T3K2
WARDEN WOODS PHARMACY,99 FIRVALLEY COURT,Toronto,M1L1P2
WELCOME GUARDIAN PHARMACY,137 RONCESVALLES AVENUE,Toronto,M6R2L2
WELCOME GUARDIAN PHARMACY,1881 YONGE ST,Toronto,M4S1Y6
WELCOME GUARDIAN PHARMACY,837 DANFORTH AVE,Toronto,M4J1L2
WELL + GOOD PHARMACY,557 CHURCH STREET INC 557 CHURCH STREET,Toronto,M4Y2E2
WELLCARE PHARMACY,815 COLLEGE STREET,Toronto,M6G1C9
WELLCARE PHARMACY,3352 KEELE STREET,Toronto,M3J1L5
WELLCARE PHARMACY,1263 WILSON AVE UNIT # 110,Toronto,M3M3G3
WELLTH PHARMACY,85 CHURCH ST,Toronto,M5C2G2
WEST PARK PHARMACY,R1-32-82 BUTTONWOOD AVE,Toronto,M6M2J5
WESTON DRUG MART,2159 WESTON ROAD,Toronto,M9N1X8
WESTON JANE PHARMACY,1292 WESTON RD,Toronto,M6M4R3
WESTOWN PHARMACY,235 DIXON ROAD,Toronto,M9P2M5
WESTSIDE PHARMACY,1896 EGLINTON AVE WEST,Toronto,M6E2J6
WESTSIDE PHARMACY,D3-2404 EGLINTON AVE W,Toronto,M6M1S6
WHITE CROSS DRUGS,300-500 YONGE ST,Toronto,M4Y1X9
WHITE'S PHARMACY,725 JANE ST,Toronto,M6N4B3
WHITESIDE PHARMACY,1732 ST. CLAIR AVE W,Toronto,M6N1J1
WHOLESOME PHARMACY,811A QUEEN STREET EAST,Toronto,M4M1H8
WILLOWDALE PHARMACY,6023 YONGE STREET,Toronto,M2M3W2
WILSON COMPOUNDING PHARMACY,5-1077 WILSON AVENUE,Toronto,M3K1G7
WILSON-ALLEN PHARMACY,517 WILSON AVENUE,Toronto,M3H1V1
WOODGREEN PHARMACY,909 QUEEN STREET EAST,Toronto,M4M1J4
WOODGREEN PHARMACY,69 QUEEN ST E UNIT #101,Toronto,M5C1R8
WOODS DRUG STORE,130 KINGSTON RD,Toronto,M4L1S7
WOODVALLEY PHARMACY,14-130 INDUSTRY STREET,Toronto,M6M5G3
YONGE DRUG MART,104-2399 YONGE ST,Toronto,M4P2E7
YONGE ELMWOOD PHARMACY,201-5025 YONGE STREET,Toronto,M2N5P2
YORK MEDICAL PHARMACY,"491 CHURCH ST, UPSTAIRS ",Toronto,M4Y2C6
YOURS PHARMACY,796 QUEEN STREET EAST,Toronto,M4M1H4
ZARA'S PHARMACY,"1908 GERRARD STREET EAST, UNIT B ",Toronto,M4L2C1
